name,date,count1
Total,2015,21545
Total,2016,25740
Total,2017,67750
Total,2018,71740
19 to 29 years old,2015,8795
19 to 29 years old,2016,11855
19 to 29 years old,2017,35375
19 to 29 years old,2018,36060
30 to 39 years old,2015,10275
30 to 39 years old,2016,11300
30 to 39 years old,2017,29425
30 to 39 years old,2018,32730
40 to 64 years old,2015,2460
40 to 64 years old,2016,2575
40 to 64 years old,2017,2930
40 to 64 years old,2018,2935
65 years old or more,2015,10
65 years old or more,2016,10
65 years old or more,2017,20
65 years old or more,2018,15
