Foreign Education,2015,2016,2017,2018
Doctoral level,960,"1,090","2,385","2,555"
Master's level or first professional degree,"4,285","6,060","21,350","29,365"
Bachelor's level or three year post-secondary credential,"5,525","5,785","15,450","14,440"
One year post-secondary credential,"1,130","1,105","2,120","2,525"
Secondary school educational credential,165,175,195,150
Secondary school not completed,"1,375","1,130",830,890
Two or more post-secondary educational credentials (must include 3 year post-secondary),420,520,45,0
Two year post-secondary credential,"1,155",925,"1,515","1,785"
Level of education not stated,"6,525","8,945","23,865","20,025"
Total - All Levels of Foreign Education,"21,545","25,740","67,750","71,740"
,,,,
