name,date,count1
Total,2015,21545
Total,2016,25740
Total,2017,67750
Total,2018,71740
Bachelor's level or three year post-secondary credential,2015,5525
Bachelor's level or three year post-secondary credential,2016,5785
Bachelor's level or three year post-secondary credential,2017,15450
Bachelor's level or three year post-secondary credential,2018,14440
Doctoral level,2015,960
Doctoral level,2016,1090
Doctoral level,2017,2385
Doctoral level,2018,2555
Level of education not stated,2015,6525
Level of education not stated,2016,8945
Level of education not stated,2017,23865
Level of education not stated,2018,20025
Master's level or first professional degree,2015,4285
Master's level or first professional degree,2016,6060
Master's level or first professional degree,2017,21350
Master's level or first professional degree,2018,29365
One year post-secondary credential,2015,1130
One year post-secondary credential,2016,1105
One year post-secondary credential,2017,2120
One year post-secondary credential,2018,2525
Secondary school educational credential,2015,165
Secondary school educational credential,2016,175
Secondary school educational credential,2017,195
Secondary school educational credential,2018,150
Secondary school not completed,2015,1375
Secondary school not completed,2016,1130
Secondary school not completed,2017,830
Secondary school not completed,2018,890
Two or more post-secondary educational credentials (must include 3 year post-secondary),2015,420
Two or more post-secondary educational credentials (must include 3 year post-secondary),2016,520
Two or more post-secondary educational credentials (must include 3 year post-secondary),2017,45
Two or more post-secondary educational credentials (must include 3 year post-secondary),2018,1
Two year post-secondary credential,2015,1155
Two year post-secondary credential,2016,925
Two year post-secondary credential,2017,1515
Two year post-secondary credential,2018,1785
